year,CROPS,EQUIP,LIVESTOCK,CROPS_PER_CAP,EQUIP_PER_CAP,LIVESTOCK_PER_CAP
1985,23906.75,1313.32,11846.699999999999,0.28493659269147337,0.01565302376582203,0.1411968725417749
1986,24087.35,1408.42,12737.27,0.2792898139022552,0.016330453939358804,0.1476870543219897
1987,24155.14,1409.22,13348.260000000002,0.2726683072199395,0.015907572131665687,0.150677969928207
1988,24282.940000000002,1458.38,13947.42,0.26704798143647385,0.01603831476614136,0.1533846542983141
1989,24380.739999999998,1507.47,14742.31,0.26138838261466213,0.01616173853378219,0.1580537984861805
1990,24849.449999999997,1556.04,14900.33,0.2598852714475459,0.016273675183283307,0.1558334814938766
1991,25031.010000000002,1604.85,15085.75,0.25495279031157375,0.016346163639882255,0.15365556789130058
1992,25098.800000000003,1653.38,15370.050000000001,0.24914433194361726,0.016412348620210442,0.1525714711137582
1993,25166.589999999997,1701.7,16019.550000000001,0.24362151749240088,0.01647305957290275,0.15507492594528666
1994,25233.83,1749.88,16956.47,0.23836307302834797,0.0165296657000085,0.16017371508459047
1995,25379.32,1822.18,17908.83,0.23407258473599263,0.016805902697717316,0.16517251556375376
1996,24426.44,1845.99,18840.31,0.21943529623141533,0.01658347931545614,0.16925221219063022
1997,24148.61,1893.96,20005.0,0.21144782235609338,0.01658371714270704,0.17516592823494387
1998,25148.81,1893.44,21086.01,0.2147708717633395,0.01616998018719683,0.18007455421192867
1999,25286.61,1892.67,22249.84,0.21074458066290516,0.0157739588455416,0.18543542217073516
2000,25543.9,1892.04,23306.03,0.20788186560544286,0.015397836861251495,0.18966958828747446
2001,25801.17,1891.16,24605.02,0.20441589618044825,0.014983164182888472,0.19493911376258724
2002,27293.09,1890.25,25281.309999999998,0.21065822276765384,0.014589652750441877,0.19513055626307296
2003,27661.5,1889.24,25626.77,0.20813456531880634,0.014215286451671156,0.19282456245955668
2004,28573.41,1548.93,26331.76,0.20972233639646518,0.011368794222130883,0.19326913478758698
2005,29684.75,1547.74,26943.28,0.21266280285988567,0.011088074735288639,0.1930227959824051
2006,30796.08,1594.93,27571.23,0.21444244829747233,0.01110598147761298,0.19198683935659078
2007,31073.920000000002,1632.73,28164.739999999998,0.21047800318352694,0.011059233921495581,0.19077278423138144
