Country,Year,Population,country_code
Brazil,1985,136223,76
Brazil,1990,149648,76
Brazil,1995,161891,76
Brazil,2000,174505,76
Brazil,2005,186142,76
Brazil,2010,195210,76
China,1985,1062299,156
China,1990,1165429,156
China,1995,1237531,156
China,2000,1280429,156
China,2005,1318177,156
China,2010,1359821,156
India,1985,781737,356
India,1990,868891,356
India,1995,955804,356
India,2000,1042262,356
India,2005,1127144,356
India,2010,1205625,356
Nigeria,1985,83902,566
Nigeria,1990,95617,566
Nigeria,1995,108425,566
Nigeria,2000,122877,566
Nigeria,2005,139586,566
Nigeria,2010,159708,566
