year,"Beans, dry",Cassava,"Coffee, green",Maize,Oranges,"Rice, paddy",Seed cotton,Soybeans,Sugar cane,Wheat
1961,2580570.0,1381330.0,4383820.0,6885740.0,118750.0,3174040.0,2023000.0,240919.0,1366640.0,1022230.0
1962,2716260.0,1476210.0,4462660.0,7347880.0,125823.0,3349810.0,2226000.0,313640.0,1466620.0,743459.0
1963,2982430.0,1617810.0,4286130.0,7957630.0,138737.0,3721800.0,2226000.0,339796.0,1509010.0,793494.0
1964,3130560.0,1715860.0,3696280.0,8105890.0,143793.0,4182360.0,2327000.0,359622.0,1519490.0,733597.0
1965,3272530.0,1749960.0,3511080.0,8771320.0,150257.0,4618900.0,2327000.0,431834.0,1705080.0,766640.0
1966,3324590.0,1779810.0,3057470.0,8703170.0,165361.0,4004850.0,2226000.0,490687.0,1635500.0,716981.0
1967,3650570.0,1914440.0,2791650.0,9274320.0,166660.0,4291150.0,3719810.0,612115.0,1680760.0,830869.0
1968,3663300.0,1998200.0,2622890.0,9584390.0,173170.0,4458950.0,3902240.0,721913.0,1686730.0,970128.0
1969,3633260.0,2029370.0,2570900.0,9653760.0,183057.0,4620700.0,4194680.0,906073.0,1672100.0,1407120.0
1970,3484780.0,2024560.0,2402990.0,9858110.0,202037.0,4979170.0,4298570.0,1318810.0,1725120.0,1895250.0
1971,3936280.0,2071280.0,2390350.0,10550500.0,215750.0,4764000.0,4459630.0,1716420.0,1728000.0,2268930.0
1972,3971030.0,2052660.0,2265700.0,10538900.0,237193.0,4532930.0,4200000.0,2191460.0,1802650.0,2319960.0
1973,3815450.0,2103750.0,2079750.0,9923570.0,449276.0,4794830.0,4318610.0,3615060.0,1958780.0,1839390.0
1974,4288560.0,2006220.0,2155020.0,10672500.0,349591.0,4664880.0,3630860.0,5143370.0,2056690.0,2471150.0
1975,4145920.0,2041420.0,2216920.0,10854700.0,403192.0,5306270.0,3876390.0,5824490.0,1969230.0,2931510.0
1976,4059180.0,2093640.0,1121020.0,11117600.0,423947.0,6656480.0,3409190.0,6416370.0,2093480.0,3539890.0
1977,4551030.0,2175530.0,1941470.0,11797400.0,421707.0,5992090.0,4096970.0,7070260.0,2270040.0,3153330.0
1978,4617260.0,2148710.0,2183670.0,11124800.0,454503.0,5623520.0,3951040.0,7782190.0,2391460.0,2811190.0
1979,4212420.0,2111050.0,2406240.0,11318900.0,475008.0,5452090.0,3646150.0,8256100.0,2536980.0,3830540.0
1980,4643410.0,2015860.0,2433600.0,11451300.0,575249.0,6243140.0,3699500.0,8774020.0,2607630.0,3122110.0
1981,5026930.0,2067250.0,2617840.0,11520300.0,575611.0,6101770.0,3510970.0,8501170.0,2825880.0,1920140.0
1982,5926140.0,2122030.0,1895490.0,12619500.0,589967.0,6024660.0,3624220.0,8203280.0,3084300.0,2827930.0
1983,4064030.0,2061200.0,2346010.0,10706000.0,624367.0,5108250.0,2926500.0,8137110.0,3478790.0,1879080.0
1984,5320150.0,1815540.0,2505440.0,12018400.0,632122.0,5351470.0,3114120.0,9421200.0,3655810.0,1741670.0
1985,5315890.0,1868080.0,2533760.0,11798300.0,663063.0,4754690.0,3590180.0,10153400.0,3912040.0,2676730.0
1986,5477690.0,2050310.0,2591460.0,12460100.0,702417.0,5590930.0,3159550.0,9181590.0,3944680.0,3897720.0
1987,5221790.0,1934810.0,2875640.0,13499400.0,721213.0,6000020.0,1972670.0,9129800.0,4308680.0,3454840.0
1988,5764880.0,1757080.0,2951490.0,13182000.0,800305.0,5960980.0,2557640.0,10518400.0,4113230.0,3476290.0
1989,5175270.0,1880090.0,3041390.0,12919000.0,880356.0,5254160.0,2112120.0,12200600.0,4067700.0,3282320.0
1990,4680090.0,1937570.0,2908960.0,11394300.0,912996.0,3946690.0,1903590.0,11487300.0,4272600.0,2680990.0
