year,"Groundnuts, with shell",Maize,Millet,Rapeseed,"Rice, paddy",Seed cotton,Soybeans,Sweet potatoes,Vegetables fresh nes,Wheat
1961,1297350.0,15215000.0,7395099.0,1473918.0,27044821.0,3868102.0,10006582.0,10853700.0,1081594.0,25567759.0
1962,1396250.0,12818000.0,6455697.0,1369345.0,27711295.0,3496515.0,9548938.0,10894600.0,1186388.0,24071363.0
1963,1552542.0,15379210.0,7505219.0,1452398.0,28486877.0,4407351.0,9678923.0,9268800.0,993826.0,23764512.0
1964,1900775.0,15368015.0,7105204.0,1807598.0,30348638.0,4932595.0,10049620.0,9893902.0,881993.0,25391511.0
1965,1949321.0,15673615.0,6565175.0,1841693.0,30574538.0,5000085.0,8637176.0,9242560.0,933590.0,24696119.0
1966,2013026.0,17024011.0,7005745.0,1753679.0,31294469.0,4921543.0,8468326.0,9872044.0,903710.0,23908507.0
1967,2027906.0,16021386.0,7005861.0,1667498.0,31198309.0,5094552.0,8546302.0,8942930.0,905340.0,25285891.0
1968,1834317.0,16022641.0,6804953.0,1405888.0,30662955.0,4982590.0,8403461.0,8538516.0,886979.0,24640716.0
1969,1825385.0,16019040.0,6904795.0,1428221.0,31195067.0,4826761.0,8365277.0,8769726.0,859574.0,25141660.0
1970,1795477.0,15838000.0,6914718.0,1453722.0,33107861.0,4993921.0,8019749.0,8935963.0,725454.0,25435003.0
1971,1871400.0,16731276.0,7004863.0,1615535.0,35639653.0,4919424.0,7824151.0,8519493.0,795782.0,25615036.0
1972,1952250.0,16711746.0,6504728.0,1966471.0,35851803.0,4892173.0,7612123.0,9240784.0,754450.0,26276672.0
1973,1832079.0,16584528.0,6003839.0,2095298.0,35781144.0,4938046.0,7436491.0,9495911.0,833783.0,26412386.0
1974,1889414.0,17431829.0,6003786.0,2062083.0,36254906.0,5008785.0,7298454.0,9238452.0,824419.0,27034304.0
1975,1939100.0,18628717.0,5303720.0,2314364.0,36483975.0,4950338.0,7033446.0,9014955.0,846839.0,27634268.0
1976,1897807.0,19250413.0,4502868.0,2348311.0,36969172.0,4924196.0,6719549.0,8478835.0,838471.0,28380502.0
1977,1738413.0,19674052.0,4482740.0,2218045.0,36268342.0,4840219.0,6868117.0,9309140.0,881054.0,28037558.0
