year,"Beans, dry",Chick peas,"Groundnuts, with shell",Maize,Millet,Rapeseed,"Rice, paddy",Seed cotton,Sorghum,Wheat
1961,6541250.0,9276000.0,6889000.0,4507000.0,18657000.0,2883000.0,34694000.0,7719000.0,18249000.0,12927000.0
1962,6725780.0,9566000.0,7283000.0,4643000.0,18218000.0,3168000.0,35695000.0,7845000.0,18414000.0,13570000.0
1963,7040000.0,9193000.0,6886000.0,4582000.0,18195000.0,3127000.0,35809000.0,8160000.0,18376000.0,13590000.0
1964,7332400.0,9354000.0,7376000.0,4618000.0,18897000.0,3046000.0,36462000.0,8268000.0,18056000.0,13499000.0
1965,7088400.0,8870000.0,7698000.0,4799000.0,19225000.0,2910000.0,35470000.0,7943000.0,17679000.0,13422000.0
1966,7247400.0,8015000.0,7299000.0,5073800.0,19139000.0,2913000.0,35251000.0,7834000.0,18054000.0,12572000.0
1967,7548200.0,8003200.0,7552700.0,5583400.0,19955900.0,3005900.0,36437400.0,8215000.0,18422500.0,12838000.0
1968,7406700.0,8256700.0,7088100.0,5715800.0,19036200.0,3243700.0,36966300.0,7649000.0,18731200.0,14998200.0
1969,7461100.0,7105500.0,7125400.0,5862200.0,20008900.0,2870200.0,37680300.0,7712000.0,18604900.0,15958100.0
1970,7796000.0,7751500.0,7326200.0,5852300.0,20168700.0,3172600.0,37591700.0,7608000.0,17373900.0,16625500.0
1971,7520500.0,7838700.0,7510200.0,5667600.0,18675600.0,3323100.0,37757800.0,7800000.0,16777000.0,18240500.0
1972,7491700.0,7912400.0,6990000.0,5837800.0,18411200.0,3613900.0,36687800.0,7679000.0,15512800.0,19138900.0
1973,8640100.0,6967500.0,7023700.0,6015400.0,20860000.0,3318700.0,38285000.0,7574000.0,16716000.0,19463600.0
1974,8361000.0,7761000.0,7170000.0,5863100.0,18215000.0,3456000.0,37888400.0,7559000.0,16189200.0,18583000.0
1975,8750100.0,7041600.0,7221500.0,6030700.0,18873300.0,3680400.0,39475400.0,7458000.0,16092300.0,18010300.0
1976,8204500.0,8320100.0,7042800.0,6000300.0,17926600.0,3339400.0,38511100.0,6885000.0,15771500.0,20453800.0
1977,8329900.0,7974100.0,7028500.0,5682700.0,18277400.0,3128600.0,40282600.0,7866000.0,16318000.0,20921500.0
1978,8397100.0,7973700.0,7433300.0,5760000.0,18494800.0,3583900.0,40482200.0,8120000.0,16145900.0,21455700.0
1979,8153400.0,7708000.0,7164800.0,5720600.0,17195800.0,3543500.0,39414300.0,8077000.0,16673600.0,22641200.0
1980,9298600.0,6985000.0,6801300.0,6004800.0,18158400.0,3470500.0,40151500.0,7820000.0,15809400.0,22171700.0
1981,9038500.0,6584100.0,7428700.0,5934700.0,18180400.0,4112900.0,40708400.0,8057400.0,16599000.0,22278800.0
1982,8671900.0,7868100.0,7215300.0,5720300.0,16853300.0,4399300.0,38262000.0,7870700.0,16376200.0,22144400.0
1983,9113200.0,7398900.0,7539000.0,5859000.0,18028000.0,3826700.0,41244000.0,7721000.0,16432000.0,23567400.0
1984,9062600.0,7161000.0,7168000.0,5799500.0,16219900.0,3873500.0,41158800.0,7382100.0,15939400.0,24672000.0
1985,9458000.0,6904200.0,7124800.0,5797200.0,16207200.0,3986900.0,41137200.0,7532700.0,16097000.0,23564900.0
1986,9360000.0,7804500.0,6982100.0,5923100.0,16645300.0,3979000.0,41166700.0,6948000.0,15947900.0,22997400.0
1987,8725200.0,6983600.0,6844000.0,5560900.0,13851100.0,3718600.0,38806300.0,6459300.0,15999400.0,23131200.0
1988,9423700.0,5767000.0,8529000.0,5896700.0,17105500.0,4619200.0,41735800.0,7342600.0,14599300.0,23062700.0
1989,9691000.0,6809500.0,8710200.0,5915100.0,15945600.0,4832200.0,42166900.0,7694800.0,14837900.0,24109100.0
1990,9790700.0,6470500.0,8309000.0,5904300.0,15095100.0,4967000.0,42686600.0,7439600.0,14358000.0,23501900.0
1991,9682000.0,7521300.0,8667900.0,5859400.0,14246000.0,5782100.0,42648700.0,7661400.0,12360000.0,24167100.0
1992,8745000.0,5579900.0,8166000.0,5962500.0,14505200.0,6553400.0,41775000.0,7542000.0,13041000.0,23261900.0
1993,8542000.0,6453700.0,8322000.0,5995000.0,13318000.0,6193000.0,42539000.0,7321000.0,12710000.0,24588900.0
1994,8361000.0,6358900.0,7849000.0,6135800.0,13779000.0,6289400.0,42814000.0,7871000.0,11514000.0,25147300.0
1995,7833700.0,7543000.0,7524000.0,5979000.0,12755000.0,6060000.0,42800000.0,9035000.0,11326000.0,25700000.0
1996,8416400.0,7116000.0,7596000.0,6300000.0,13365000.0,6546000.0,43400000.0,9121000.0,11400000.0,25011000.0
1997,8418400.0,6846700.0,7090000.0,6321000.0,12853500.0,6545400.0,43469800.0,8868000.0,10878400.0,25887100.0
1998,7394000.0,7563200.0,7396000.0,6203700.0,12550000.0,7041000.0,44802300.0,9342400.0,9794300.0,26696100.0
1999,5970300.0,8469100.0,6867300.0,6422100.0,11942400.0,6513200.0,45160000.0,8709700.0,10251100.0,27523300.0
2000,5845200.0,6146300.0,6558600.0,6611300.0,13012200.0,6026800.0,44712000.0,8576500.0,9856400.0,27486000.0
2001,6019700.0,5185300.0,6238100.0,6581500.0,12486300.0,4476700.0,44900000.0,9100000.0,9795200.0,25730600.0
2002,7851300.0,6416200.0,5935500.0,6635200.0,10355400.0,5073000.0,41176100.0,7669700.0,9300000.0,26344700.0
2003,9274600.0,5906400.0,5987000.0,7343400.0,13470100.0,4544000.0,42592500.0,7597900.0,9299800.0,25195700.0
2004,8782800.0,7048100.0,6640400.0,7430400.0,11886200.0,5428100.0,41906700.0,8786600.0,9330700.0,26594700.0
