year,Cassava,Cocoa beans,"Cow peas, dry","Groundnuts, with shell",Maize,Millet,Oil palm fruit,"Rice, paddy",Sorghum,Yams
1961,780000.0,700000.0,1216000.0,1488000.0,1375000.0,4360000.0,2700000.0,149000.0,4658000.0,450000.0
1962,865000.0,700000.0,1473000.0,1501000.0,1120000.0,4442000.0,2500000.0,218000.0,4773000.0,450000.0
1963,801000.0,700000.0,2638000.0,1992000.0,1140000.0,4122000.0,2600000.0,162000.0,5234000.0,550000.0
1964,870000.0,700000.0,2531000.0,2000000.0,1471000.0,4022000.0,2600000.0,179000.0,5532000.0,600000.0
1965,829000.0,700000.0,2743000.0,2229000.0,1404000.0,4628000.0,2700000.0,188000.0,5937000.0,700000.0
1966,910000.0,700000.0,3043000.0,2254000.0,1145000.0,4064000.0,2600000.0,160000.0,4643000.0,742000.0
1967,958000.0,700000.0,3935000.0,2256000.0,1163000.0,4384000.0,2100000.0,262000.0,4735000.0,771000.0
1968,902000.0,700000.0,3364000.0,1941000.0,1095000.0,4479000.0,2100000.0,235000.0,5138000.0,1068000.0
1969,906000.0,700000.0,4049000.0,1833000.0,1371000.0,4906000.0,2200000.0,258000.0,7809000.0,1043000.0
1970,857000.0,700000.0,3820000.0,1870000.0,1449000.0,4967000.0,2150000.0,255000.0,5714000.0,1237000.0
1971,900000.0,700000.0,3790000.0,1795000.0,1218000.0,4789000.0,2150000.0,304000.0,5387000.0,1236000.0
1972,960000.0,700000.0,2464000.0,2033000.0,1115000.0,3690000.0,2000000.0,237000.0,3791000.0,932000.0
1973,970000.0,700000.0,3256000.0,2076000.0,1246000.0,5651000.0,2000000.0,373000.0,5198000.0,948000.0
1974,1000000.0,700000.0,2937000.0,1815000.0,579000.0,4787000.0,2150000.0,269000.0,4651000.0,671000.0
1975,1050000.0,700000.0,3033000.0,1418000.0,971000.0,4629000.0,2100000.0,261000.0,2734000.0,776000.0
1976,1080000.0,700000.0,2721000.0,684000.0,892000.0,3930000.0,2100000.0,172000.0,4845000.0,679000.0
1977,1100000.0,700000.0,1552000.0,763000.0,610000.0,3089000.0,2150000.0,246000.0,3480000.0,577000.0
1978,1100000.0,700000.0,1406000.0,710000.0,519000.0,2273000.0,2000000.0,292000.0,3433000.0,471000.0
1979,1150000.0,700000.0,1406000.0,504000.0,425000.0,2565000.0,2300000.0,400000.0,2686000.0,481000.0
1980,1200000.0,700000.0,1463000.0,563000.0,465000.0,2824000.0,2300000.0,550000.0,3286000.0,498000.0
1981,1200000.0,700000.0,1173000.0,650000.0,438000.0,1708000.0,2000000.0,600000.0,2076500.0,926000.0
1982,1250000.0,700000.0,1520000.0,497000.0,556000.0,1698000.0,2000000.0,600000.0,2290000.0,956000.0
1983,1100000.0,700000.0,1183000.0,650000.0,1058000.0,1773000.0,1900000.0,630000.0,2280000.0,888000.0
1984,1259000.0,700000.0,1106000.0,600000.0,1050000.0,2133000.0,2200000.0,650000.0,4410000.0,816000.0
1985,1075000.0,700000.0,1405000.0,594000.0,1556000.0,2346000.0,2200000.0,670000.0,4862000.0,840000.0
1986,1095000.0,700000.0,1405000.0,793000.0,2800000.0,3917000.0,2220000.0,700000.0,5147000.0,924000.0
1987,1288000.0,700000.0,1496000.0,597000.0,3408000.0,3829000.0,2300000.0,745000.0,5131000.0,751000.0
1988,1347000.0,700000.0,1542000.0,707000.0,3212000.0,3563000.0,2250000.0,1041000.0,4776000.0,935000.0
1989,1639780.0,708000.0,1643000.0,800000.0,3590000.0,4067000.0,2260000.0,1652000.0,4953700.0,921000.0
1990,1634130.0,715000.0,1805000.0,707000.0,5104000.0,4778000.0,2300000.0,1208000.0,4185000.0,1276000.0
1991,2551000.0,726000.0,1885740.0,1127000.0,5142000.0,4560000.0,2450000.0,1652000.0,5538000.0,1639000.0
1992,2755000.0,730000.0,2767000.0,1046000.0,5223000.0,4367000.0,2550000.0,1664000.0,5474000.0,1743000.0
1993,2844000.0,735000.0,3090000.0,1121000.0,5309000.0,4850000.0,2700000.0,1564000.0,5605000.0,1906000.0
