country,dish,link,image,main_ingredients
Afghanistan,Kabuli Palaw,/wiki/Kabuli_Palaw,,
Algeria,Couscous,/wiki/Couscous,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Couscous_of_Fes.JPG/235px-Couscous_of_Fes.JPG,Semolina
Angola,Muamba de galinha,/wiki/Moambe,,Palm nuts
Argentina,Asado,/wiki/Asado,,
Argentina,Empanada,/wiki/Empanada,http://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Empanada_-_Stu_Spivack.jpg/250px-Empanada_-_Stu_Spivack.jpg,"Pastry, filling"
Armenia,Harissa,/wiki/Harissa_(dish),,
Aruba,Keshi yena,/wiki/Keshi_yena,,
Australia,Meat pie,/wiki/Australian_meat_pie,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Meat_pie.jpg/250px-Meat_pie.jpg,"Diced or minced meat, gravy"
Australia,Roast lamb,/wiki/Lamb_and_mutton,,
Australia,Vegemite,/wiki/Vegemite,http://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Vegemiteontoast_large.jpg/237px-Vegemiteontoast_large.jpg,
Austria,Tafelspitz,/wiki/Tafelspitz,,
Austria,Wiener Schnitzel,/wiki/Wiener_Schnitzel,,
Azerbaijan,Dolma,/wiki/Dolma,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Dolma.JPG/250px-Dolma.JPG,"Stuffed peppers, Vine leaf, Rice"
Bahamas,Crack conch with peas and rice,/wiki/Conch,,
Bahrain,Machboos,/wiki/Machboos,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Kabsa.jpg/220px-Kabsa.jpg,"rice (usually long-grain, mostly basmati), meat, spices(cardamom, saffron, cinnamon, black lime, bay leaves and nutmeg) and vegetables"
Bangladesh,Ilish,/wiki/Ilish,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Tenualosa_ilisha_Day.png/220px-Tenualosa_ilisha_Day.png,
Barbados,Cou-Cou,/wiki/Cou-Cou,,
Barbados,Flying Fish,/wiki/Flying_fish#Barbados,http://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Sailfin_flyingfish.jpg/250px-Sailfin_flyingfish.jpg,
Belarus,Draniki,/wiki/Potato_pancake,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Latkes.jpg/250px-Latkes.jpg,"Potatoes, flour, chicken egg, cooking oil"
Belgium,Moules-frites,/wiki/Moules-frites,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Moules_Frites.jpg/250px-Moules_Frites.jpg,
Bermuda,Bermuda fish chowder,/wiki/Bermuda_fish_chowder,http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Bermuda_Fish_Chowder_%283825239570%29.jpg/250px-Bermuda_Fish_Chowder_%283825239570%29.jpg,"fish, stock, tomato purée"
Bhutan,Ema datshi,/wiki/Ema_datshi,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Bhutanese_hemadatsi.jpg/220px-Bhutanese_hemadatsi.jpg,"Cheese (cow or yak milk), chili peppers (green, red, or white)"
Bolivia,Salteñas,/wiki/Salte%C3%B1as,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Saltena4_lg.JPG/250px-Saltena4_lg.JPG,"Beef, pork or chicken"
