year,AQUA_PLANTS,DAIRY,HONEY,MEAT,PORK,POULTRY,SEAFOOD
1961,0.0,219.0,1.0,118.0,34.0,8.0,8.0
1962,0.0,220.0,1.0,118.0,37.0,8.0,10.0
1963,0.0,225.0,1.0,113.0,35.0,9.0,9.0
1964,0.0,251.0,1.0,115.0,34.0,9.0,9.0
1965,0.0,261.0,1.0,117.0,35.0,12.0,9.0
1966,0.0,255.0,1.0,113.0,39.0,12.0,10.0
1967,0.0,241.0,1.0,112.0,38.0,13.0,10.0
1968,0.0,252.0,1.0,117.0,41.0,14.0,11.0
1969,0.0,236.0,1.0,116.0,40.0,15.0,11.0
1970,0.0,234.0,1.0,115.0,42.0,17.0,13.0
1971,0.0,226.0,1.0,113.0,43.0,17.0,12.0
1972,0.0,217.0,0.0,123.0,40.0,19.0,12.0
1973,0.0,226.0,0.0,123.0,35.0,22.0,15.0
1974,0.0,260.0,0.0,118.0,35.0,23.0,14.0
1975,0.0,283.0,0.0,121.0,36.0,22.0,15.0
1976,0.0,301.0,0.0,123.0,36.0,23.0,10.0
1977,0.0,271.0,0.0,121.0,38.0,26.0,12.0
1978,0.0,254.0,0.0,128.0,39.0,31.0,11.0
1979,0.0,263.0,0.0,132.0,41.0,38.0,13.0
1980,0.0,303.0,0.0,132.0,44.0,43.0,12.0
1981,0.0,280.0,0.0,129.0,43.0,42.0,11.0
1982,0.0,291.0,0.0,120.0,35.0,45.0,11.0
1983,0.0,283.0,0.0,122.0,35.0,44.0,12.0
1984,0.0,295.0,1.0,117.0,30.0,36.0,13.0
1985,0.0,295.0,1.0,120.0,31.0,40.0,12.0
1986,0.0,329.0,1.0,142.0,35.0,44.0,13.0
1987,0.0,319.0,1.0,137.0,42.0,50.0,12.0
1988,0.0,314.0,1.0,129.0,44.0,52.0,10.0
1989,0.0,338.0,1.0,150.0,42.0,55.0,10.0
1990,0.0,337.0,1.0,152.0,40.0,61.0,9.0
1991,0.0,352.0,1.0,159.0,48.0,67.0,8.0
1992,0.0,354.0,1.0,155.0,49.0,72.0,8.0
1993,0.0,345.0,1.0,147.0,61.0,74.0,8.0
1994,0.0,356.0,1.0,150.0,70.0,81.0,8.0
1995,0.0,405.0,1.0,170.0,75.0,98.0,10.0
1996,0.0,413.0,1.0,174.0,78.0,93.0,10.0
1997,0.0,406.0,1.0,171.0,84.0,107.0,10.0
1998,0.0,405.0,1.0,164.0,99.0,110.0,9.0
1999,0.0,408.0,1.0,177.0,97.0,121.0,9.0
2000,0.0,409.0,1.0,181.0,101.0,127.0,10.0
2001,0.0,400.0,1.0,183.0,96.0,122.0,10.0
2002,0.0,422.0,1.0,191.0,92.0,132.0,11.0
2003,0.0,415.0,0.0,185.0,101.0,139.0,11.0
2004,0.0,426.0,1.0,193.0,98.0,147.0,11.0
2005,0.0,442.0,1.0,206.0,74.0,118.0,10.0
2006,0.0,452.0,1.0,211.0,80.0,127.0,11.0
2007,0.0,440.0,1.0,221.0,81.0,135.0,11.0
2008,0.0,457.0,1.0,217.0,83.0,156.0,12.0
2009,0.0,495.0,1.0,221.0,86.0,149.0,14.0
