year,AQUA_PLANTS,DAIRY,HONEY,MEAT,PORK,POULTRY,SEAFOOD
1961,0.0,20.0,1.0,7.0,22.0,5.0,8.0
1962,0.0,20.0,1.0,9.0,28.0,5.0,9.0
1963,0.0,20.0,1.0,12.0,49.0,5.0,9.0
1964,1.0,20.0,1.0,13.0,64.0,5.0,9.0
1965,1.0,20.0,1.0,16.0,72.0,5.0,11.0
1966,1.0,20.0,1.0,15.0,76.0,5.0,10.0
1967,1.0,20.0,0.0,16.0,79.0,6.0,10.0
1968,1.0,18.0,0.0,15.0,76.0,6.0,10.0
1969,1.0,18.0,1.0,14.0,72.0,6.0,9.0
1970,1.0,19.0,1.0,13.0,69.0,6.0,9.0
1971,1.0,20.0,1.0,17.0,78.0,6.0,9.0
1972,1.0,20.0,1.0,20.0,84.0,6.0,9.0
1973,1.0,20.0,1.0,18.0,82.0,6.0,10.0
1974,1.0,22.0,1.0,19.0,81.0,6.0,10.0
1975,1.0,22.0,1.0,20.0,81.0,6.0,11.0
1976,1.0,22.0,0.0,20.0,79.0,7.0,9.0
1977,1.0,23.0,1.0,21.0,79.0,7.0,8.0
1978,1.0,25.0,0.0,20.0,85.0,7.0,8.0
1979,1.0,23.0,0.0,22.0,104.0,8.0,7.0
1980,1.0,25.0,1.0,25.0,115.0,8.0,8.0
1981,1.0,26.0,0.0,23.0,118.0,8.0,8.0
1982,1.0,26.0,1.0,24.0,124.0,8.0,8.0
1983,1.0,29.0,1.0,25.0,127.0,9.0,9.0
1984,1.0,33.0,1.0,26.0,137.0,9.0,9.0
1985,1.0,38.0,1.0,28.0,154.0,9.0,10.0
1986,1.0,39.0,1.0,29.0,165.0,10.0,12.0
1987,1.0,42.0,1.0,32.0,165.0,11.0,14.0
1988,1.0,46.0,1.0,34.0,179.0,14.0,15.0
1989,1.0,47.0,1.0,36.0,185.0,14.0,16.0
1990,1.0,50.0,1.0,38.0,196.0,15.0,16.0
1991,2.0,56.0,1.0,41.0,207.0,18.0,17.0
1992,3.0,58.0,1.0,47.0,221.0,21.0,18.0
1993,3.0,63.0,1.0,50.0,236.0,25.0,22.0
1994,3.0,75.0,1.0,57.0,255.0,28.0,26.0
1995,3.0,82.0,1.0,66.0,258.0,34.0,27.0
1996,4.0,91.0,1.0,62.0,253.0,34.0,32.0
1997,4.0,89.0,1.0,71.0,284.0,38.0,32.0
1998,4.0,92.0,1.0,75.0,304.0,42.0,33.0
1999,5.0,97.0,1.0,79.0,302.0,46.0,34.0
2000,5.0,101.0,1.0,85.0,306.0,48.0,34.0
2001,6.0,106.0,1.0,83.0,310.0,47.0,34.0
2002,6.0,115.0,1.0,83.0,313.0,46.0,36.0
2003,7.0,128.0,1.0,84.0,320.0,48.0,36.0
2004,7.0,145.0,1.0,89.0,323.0,47.0,39.0
2005,7.0,155.0,1.0,87.0,337.0,51.0,39.0
2006,7.0,164.0,2.0,89.0,342.0,52.0,40.0
2007,7.0,174.0,2.0,93.0,315.0,55.0,42.0
2008,7.0,179.0,2.0,96.0,339.0,58.0,46.0
2009,8.0,184.0,2.0,95.0,355.0,59.0,44.0
