year,AQUA_PLANTS,DAIRY,HONEY,MEAT,PORK,POULTRY,SEAFOOD
1961,0.0,15.0,0.0,27.0,4.0,1.0,6.0
1962,0.0,17.0,0.0,25.0,4.0,1.0,5.0
1963,0.0,18.0,0.0,25.0,4.0,2.0,7.0
1964,0.0,19.0,0.0,27.0,4.0,2.0,8.0
1965,0.0,20.0,0.0,27.0,4.0,2.0,7.0
1966,0.0,20.0,0.0,25.0,4.0,2.0,8.0
1967,0.0,21.0,0.0,27.0,4.0,2.0,7.0
1968,0.0,22.0,0.0,25.0,4.0,2.0,6.0
1969,0.0,24.0,0.0,29.0,4.0,2.0,5.0
1970,0.0,28.0,0.0,28.0,4.0,2.0,6.0
1971,0.0,31.0,0.0,27.0,4.0,2.0,8.0
1972,0.0,33.0,0.0,24.0,4.0,2.0,9.0
1973,0.0,31.0,0.0,30.0,4.0,2.0,10.0
1974,0.0,31.0,0.0,29.0,4.0,2.0,10.0
1975,0.0,33.0,0.0,25.0,4.0,3.0,12.0
1976,0.0,36.0,0.0,33.0,4.0,3.0,15.0
1977,0.0,45.0,0.0,30.0,5.0,3.0,17.0
1978,0.0,53.0,0.0,35.0,5.0,4.0,20.0
1979,0.0,37.0,0.0,35.0,4.0,4.0,22.0
1980,0.0,54.0,0.0,42.0,4.0,4.0,24.0
1981,0.0,53.0,0.0,41.0,4.0,4.0,29.0
1982,0.0,55.0,0.0,44.0,4.0,4.0,28.0
1983,0.0,41.0,0.0,42.0,4.0,4.0,21.0
1984,0.0,30.0,0.0,41.0,5.0,4.0,11.0
1985,0.0,29.0,0.0,42.0,6.0,3.0,10.0
1986,0.0,24.0,0.0,33.0,7.0,4.0,9.0
1987,0.0,25.0,0.0,30.0,9.0,4.0,12.0
1988,0.0,23.0,0.0,30.0,9.0,4.0,10.0
1989,0.0,24.0,0.0,27.0,10.0,4.0,12.0
1990,0.0,27.0,0.0,27.0,9.0,4.0,13.0
1991,0.0,29.0,0.0,27.0,9.0,4.0,12.0
1992,0.0,30.0,0.0,26.0,9.0,3.0,10.0
1993,0.0,33.0,0.0,27.0,10.0,3.0,11.0
1994,0.0,22.0,0.0,29.0,10.0,3.0,9.0
1995,0.0,45.0,0.0,30.0,11.0,3.0,10.0
1996,0.0,21.0,0.0,32.0,11.0,3.0,14.0
1997,0.0,19.0,0.0,33.0,11.0,3.0,14.0
1998,0.0,24.0,0.0,33.0,11.0,3.0,15.0
1999,0.0,25.0,0.0,33.0,11.0,3.0,15.0
2000,0.0,28.0,0.0,33.0,11.0,3.0,13.0
2001,0.0,31.0,0.0,34.0,11.0,3.0,16.0
2002,0.0,31.0,0.0,33.0,13.0,3.0,15.0
2003,0.0,35.0,0.0,32.0,11.0,3.0,17.0
2004,0.0,37.0,0.0,32.0,12.0,3.0,19.0
2005,0.0,34.0,0.0,31.0,12.0,3.0,20.0
2006,0.0,38.0,0.0,30.0,12.0,4.0,26.0
2007,0.0,68.0,0.0,30.0,12.0,4.0,29.0
2008,0.0,33.0,0.0,31.0,12.0,4.0,27.0
2009,0.0,37.0,0.0,31.0,12.0,4.0,24.0
