Year,pct_rural,pct_urban,rural,total,urban
1985,30.1,69.9,41061.0,136223,95185
1986,29.3,70.7,40654.0,138908,98273
1987,28.5,71.5,40247.0,141593,101361
1988,27.700000000000003,72.30000000000001,39840.0,144278,104448
1989,26.900000000000002,73.10000000000001,39433.0,146963,107536
1990,26.1,73.9,39026.0,149648,110624
1991,25.36,74.64,38468.4,152097,113621
1992,24.62,75.38,37910.8,154545,116618
1993,23.88,76.12,37353.2,156994,119616
1994,23.14,76.86,36795.6,159442,122613
1995,22.4,77.6,36238.0,161891,125610
1996,21.68,78.32,35551.6,164414,128812
1997,20.96,79.03999999999999,34865.2,166937,132014
1998,20.240000000000002,79.76,34178.8,169459,135215
1999,19.52,80.48,33492.4,171982,138417
2000,18.8,81.2,32806.0,174505,141619
2001,18.48,81.52,32630.0,176832,144107
2002,18.16,81.84,32454.0,179160,146596
2003,17.84,82.16,32278.0,181487,149084
2004,17.52,82.48,32102.0,183815,151573
2005,17.2,82.8,31926.0,186142,154061
2006,16.9,83.1,31648.2,187956,156131
2007,16.599999999999998,83.39999999999999,31370.4,189769,158200
2008,16.3,83.7,31092.6,191583,160270
2009,16.0,84.0,30814.8,193396,162339
2010,15.7,84.3,30537.0,195210,164409
