Year,pct_rural,pct_urban,rural,total,urban
1985,75.7,24.3,593481,781737,191009
1986,75.46000000000001,24.54,604896,799168,197453
1987,75.22,24.78,616311,816599,203897
1988,74.98,25.02,627726,834029,210342
1989,74.74,25.26,639141,851460,216786
1990,74.5,25.5,650556,868891,223230
1991,74.28,25.72,662017,886274,229909
1992,74.06,25.94,673478,903656,236588
1993,73.84,26.16,684940,921039,243266
1994,73.62,26.380000000000003,696401,938421,249945
1995,73.4,26.6,707862,955804,256624
1996,73.18,26.82,718752,973096,263616
1997,72.96000000000001,27.04,729642,990387,270608
1998,72.74,27.26,740533,1007679,277601
1999,72.52,27.48,751423,1024970,284593
2000,72.3,27.7,762313,1042262,291585
2001,72.0,28.0,771201,1059238,299926
2002,71.7,28.3,780090,1076215,308266
2003,71.39999999999999,28.599999999999998,788978,1093191,316607
2004,71.1,28.9,797867,1110168,324947
2005,70.8,29.2,806755,1127144,333288
2006,70.46,29.54,814572,1142840,342385
2007,70.11999999999999,29.88,822389,1158536,351483
2008,69.78,30.22,830205,1174233,360580
2009,69.44,30.56,838022,1189929,369678
2010,69.1,30.9,845839,1205625,378775
