Year,Brazil,China,India,Nigeria
1985,136223,1062299,781737,83902
1986,138908,1082925,799168,86245
1987,141593,1103551,816599,88588
1988,144278,1124177,834029,90931
1989,146963,1144803,851460,93274
1990,149648,1165429,868891,95617
1991,152097,1179849,886274,98179
1992,154545,1194270,903656,100740
1993,156994,1208690,921039,103302
1994,159442,1223111,938421,105863
1995,161891,1237531,955804,108425
1996,164414,1246111,973096,111315
1997,166937,1254690,990387,114206
1998,169459,1263270,1007679,117096
1999,171982,1271849,1024970,119987
2000,174505,1280429,1042262,122877
2001,176832,1287979,1059238,126219
2002,179160,1295528,1076215,129561
2003,181487,1303078,1093191,132902
2004,183815,1310627,1110168,136244
2005,186142,1318177,1127144,139586
2006,187956,1326506,1142840,143610
2007,189769,1334835,1158536,147635
2008,191583,1343163,1174233,151659
2009,193396,1351492,1189929,155684
2010,195210,1359821,1205625,159708
