Country,City,State,1991,2000,2010
Brazil,Águas Lindas de Goiás,GO,,105583,159138
Brazil,Alagoinhas,BA,99508,112440,124042
Brazil,Alvorada,RS,141881,183365,195673
Brazil,Americana,SP,153653,182159,209654
Brazil,Ananindeua,PA,,392627,470819
Brazil,Anápolis,GO,226925,280164,328755
Brazil,Angra dos Reis,RJ,78445,114300,163290
Brazil,Aparecida de Goiânia,GO,175555,335547,455193
Brazil,Apucarana,PR,86079,100249,114098
Brazil,Aracaju,SE,402341,461534,571149
Brazil,Araçatuba,SP,150905,164449,178077
Brazil,Araguaína,TO,84614,105874,142925
Brazil,Araguari,MG,82103,92748,102583
Brazil,Arapiraca,AL,130963,152354,181481
Brazil,Arapongas,PR,60025,81790,101851
Brazil,Araraquara,SP,156465,173569,202730
Brazil,Araras,SP,79111,97860,112444
Brazil,Araruama,RJ,43373,75088,106486
Brazil,Araucária,PR,54262,86111,110205
Brazil,Atibaia,SP,74751,96874,115229
Brazil,Balneário Camboriú,SC,39888,73455,108089
Brazil,Barbacena,MG,83319,103669,115568
Brazil,Barra Mansa,RJ,166673,165134,176193
Brazil,Barreiras,BA,,99300,123741
Brazil,Barretos,SP,89311,98860,108686
Brazil,Barueri,SP,130799,208281,240749
Brazil,Bauru,SP,255669,310442,338184
Brazil,Belém,PA,849187,1272354,1381475
Brazil,Belford Roxo,RJ,,434474,469332
Brazil,Belo Horizonte,MG,2013257,2238526,2375151
Brazil,Betim,MG,162143,298258,375331
Brazil,Birigui,SP,70567,91018,105487
Brazil,Blumenau,SC,186327,241943,294773
Brazil,Boa Vista,RR,120157,197098,277799
Brazil,Botucatu,SP,84853,103993,122678
Brazil,Bragança Paulista,SP,92409,111091,142255
Brazil,Brasília,DF,1515889,1961499,2482210
Brazil,Brusque,SC,53488,73256,102025
Brazil,Cabo de Santo Agostinho,PE,109763,134486,167783
Brazil,Cabo Frio,RJ,79217,106237,140486
Brazil,Cachoeirinha,RS,87951,107564,118278
Brazil,Cachoeiro de Itapemirim,ES,117119,155401,173589
Brazil,Camaçari,BA,108232,154402,231973
Brazil,Camaragibe,PE,99407,128702,144466
Brazil,Campina Grande,PB,307468,337484,367209
Brazil,Campinas,SP,824924,953218,1061540
Brazil,Campo Grande,MS,518687,655914,776242
Brazil,Campos dos Goytacazes,RJ,324667,364177,418725
Brazil,Canoas,RS,270672,306093,323827
Brazil,Carapicuíba,SP,283661,344596,369584
Brazil,Cariacica,ES,261084,312980,337643
Brazil,Caruaru,PE,182012,217407,279589
Brazil,Cascavel,PR,177766,228673,270049
Brazil,Castanhal,PA,92852,121249,153378
Brazil,Catanduva,SP,89905,104268,111914
Brazil,Caucaia,CE,147601,226088,290220
Brazil,Caxias,MA,84331,103485,118534
Brazil,Caxias do Sul,RS,264775,333391,419406
Brazil,Chapecó,SC,96751,134592,168113
Brazil,Colombo,PR,110273,174962,203203
Brazil,Conselheiro Lafaiete,MG,83451,99515,111266
Brazil,Contagem,MG,419975,533330,601400
Brazil,Coronel Fabriciano,MG,85747,96255,102395
Brazil,Cotia,SP,107453,148987,201150
Brazil,Crato,CE,70280,83917,100916
Brazil,Criciúma,SC,132313,153049,189630
Brazil,Cubatão,SP,90659,107661,118720
Brazil,Cuiabá,MT,395662,476532,540814
Brazil,Curitiba,PR,1315035,1587315,1751907
Brazil,Diadema,SP,305287,357064,386089
Brazil,Divinópolis,MG,144429,177973,207516
Brazil,Dourados,MS,122856,149928,181005
Brazil,Duque de Caxias,RJ,664145,772327,852138
Brazil,Embu,SP,155990,207663,240230
Brazil,Feira de Santana,BA,349557,431730,510635
Brazil,Ferraz de Vasconcelos,SP,94970,141208,160754
Brazil,Florianópolis,SC,239996,332185,405286
Brazil,Fortaleza,CE,1768637,2141402,2452185
Brazil,Foz do Iguaçu,PR,186385,256524,253962
Brazil,Franca,SP,227854,282203,313046
Brazil,Francisco Morato,SP,83637,133575,154158
Brazil,Franco da Rocha,SP,79492,100395,121244
Brazil,Garanhuns,PE,89206,103435,115356
Brazil,Goiânia,GO,913485,1085806,1297076
Brazil,Governador Valadares,MG,215098,236098,253300
Brazil,Gravataí,RS,167863,212144,243497
