Country,Year,Rural_Population,country_code
Brazil,1985,41061,76
Brazil,1990,39026,76
Brazil,1995,36238,76
Brazil,2000,32806,76
Brazil,2005,31926,76
Brazil,2010,30537,76
China,1985,814900,156
China,1990,842379,156
China,1995,838120,156
China,2000,813792,156
China,2005,751576,156
China,2010,681049,156
India,1985,593481,356
India,1990,650556,356
India,1995,707862,356
India,2000,762313,356
India,2005,806755,356
India,2010,845839,356
Nigeria,1985,58503,566
Nigeria,1990,63134,566
Nigeria,1995,67282,566
Nigeria,2000,71306,566
Nigeria,2005,75854,566
Nigeria,2010,80795,566
