Country,Year,Urban_Population,country_code
Brazil,1985,95185,76
Brazil,1990,110624,76
Brazil,1995,125610,76
Brazil,2000,141619,76
Brazil,2005,154061,76
Brazil,2010,164409,76
China,1985,241679,156
China,1990,302817,156
China,1995,375866,156
China,2000,455325,156
China,2005,556017,156
China,2010,660286,156
India,1985,191009,356
India,1990,223230,356
India,1995,256624,356
India,2000,291585,356
India,2005,333288,356
India,2010,378775,356
Nigeria,1985,27326,566
Nigeria,1990,34418,566
Nigeria,1995,42733,566
Nigeria,2000,52383,566
Nigeria,2005,63969,566
Nigeria,2010,77629,566
